数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202411,115,以色列,43,湖南省,"500,663"
202411,115,以色列,44,广东省,"65,973,624"
202411,115,以色列,46,海南省,"526,078"
202411,115,以色列,50,重庆市,"3,734,961"
202411,115,以色列,51,四川省,"496,592,289"
202411,115,以色列,53,云南省,"317,460"
202411,115,以色列,61,陕西省,"590,130"
202411,115,以色列,62,甘肃省,78
202411,115,以色列,63,青海省,"2,448"
202411,115,以色列,64,宁夏回族自治区,"312,996"
202411,115,以色列,65,新疆维吾尔自治区,"9,978"
202411,116,日本,11,北京市,"1,843,054,737"
202411,116,日本,12,天津市,"357,787,047"
202411,116,日本,13,河北省,"54,792,935"
202411,116,日本,14,山西省,"22,393,608"
202411,116,日本,15,内蒙古自治区,"20,356,858"
202411,116,日本,21,辽宁省,"289,642,017"
202411,116,日本,22,吉林省,"40,905,015"
202411,116,日本,23,黑龙江省,"13,324,671"
202411,116,日本,31,上海市,"2,721,931,314"
202411,116,日本,32,江苏省,"2,104,890,904"
202411,116,日本,33,浙江省,"959,976,097"
202411,116,日本,34,安徽省,"447,282,930"
202411,116,日本,35,福建省,"253,246,486"
202411,116,日本,36,江西省,"87,989,733"
202411,116,日本,37,山东省,"381,387,906"
202411,116,日本,41,河南省,"90,039,597"
202411,116,日本,42,湖北省,"192,887,002"
202411,116,日本,43,湖南省,"69,681,615"
202411,116,日本,44,广东省,"3,067,919,701"
202411,116,日本,45,广西壮族自治区,"52,715,294"
202411,116,日本,46,海南省,"58,661,932"
202411,116,日本,50,重庆市,"86,162,520"
202411,116,日本,51,四川省,"347,195,665"
202411,116,日本,52,贵州省,"1,650,487"
202411,116,日本,53,云南省,"32,288,924"
202411,116,日本,54,西藏自治区,"1,314,588"
202411,116,日本,61,陕西省,"129,187,543"
202411,116,日本,62,甘肃省,"6,283,461"
202411,116,日本,63,青海省,"547,032"
202411,116,日本,64,宁夏回族自治区,"8,699,792"
202411,116,日本,65,新疆维吾尔自治区,"4,053,534"
202411,117,约旦,11,北京市,"6,324"
202411,117,约旦,12,天津市,"70,878"
202411,117,约旦,13,河北省,"235,000"
202411,117,约旦,14,山西省,233
202411,117,约旦,23,黑龙江省,743
202411,117,约旦,31,上海市,"9,360,759"
202411,117,约旦,32,江苏省,"3,306,099"
202411,117,约旦,33,浙江省,"7,348,032"
