Date of data,Trading partner code,Trading partner,Locations of importers and exporters code,Locations of importers and exporters,US dollar,
202505,142,China,65,Xinjiang Uygur Autonomous Region,"326,655",
202505,143,Taiwan，China,11,Beijing,"303,798,043",
202505,143,Taiwan，China,12,Tianjin,"188,301,225",
202505,143,Taiwan，China,13,Hebei Province,"18,267,255",
202505,143,Taiwan，China,14,Shanxi Province,"41,884,736",
202505,143,Taiwan，China,15,Inner Mongolia Autonomous Region,"5,297,162",
202505,143,Taiwan，China,21,Liaoning Province,"34,188,129",
202505,143,Taiwan，China,22,Jilin Province,"13,630,258",
202505,143,Taiwan，China,23,Heilongjiang Province,"1,061,819",
202505,143,Taiwan，China,31,Shanghai Province,"2,048,854,328",
202505,143,Taiwan，China,32,Jiangsu Province,"3,230,522,394",
202505,143,Taiwan，China,33,Zhejiang Province,"572,876,539",
202505,143,Taiwan，China,34,Anhui Province,"431,533,612",
202505,143,Taiwan，China,35,Fujian Province,"414,382,976",
202505,143,Taiwan，China,36,Jiangxi Province,"97,537,758",
202505,143,Taiwan，China,37,Shandong Province,"404,185,213",
202505,143,Taiwan，China,41,Henan Province,"373,918,194",
202505,143,Taiwan，China,42,Hubei Province,"227,119,962",
202505,143,Taiwan，China,43,Hunan Province,"156,599,801",
202505,143,Taiwan，China,44,Guangdong Province,"8,536,679,606",
202505,143,Taiwan，China,45,Guangxi Zhuang Autonomous Region,"39,762,923",
202505,143,Taiwan，China,46,Hainan Province,"27,982,828",
202505,143,Taiwan，China,50,Chongqing,"998,395,358",
202505,143,Taiwan，China,51,Sichuan Province,"561,005,626",
202505,143,Taiwan，China,52,Guizhou Province,"46,818,014",
202505,143,Taiwan，China,53,Yunnan Province,"18,102,041",
202505,143,Taiwan，China,61,Shaanxi Province,"474,963,215",
202505,143,Taiwan，China,62,Gansu Province,"6,263,788",
202505,143,Taiwan，China,63,Qinghai Province,"634,721",
202505,143,Taiwan，China,64,Ningxia Hui Autonomous Region,"664,200",
202505,143,Taiwan，China,65,Xinjiang Uygur Autonomous Region,895,
202505,144,Timor-Leste,11,Beijing,"129,414",
202505,144,Timor-Leste,32,Jiangsu Province,186,
202505,144,Timor-Leste,44,Guangdong Province,262,
202505,145,Kazakhstan,11,Beijing,"613,868,959",
202505,145,Kazakhstan,12,Tianjin,"8,697,976",
202505,145,Kazakhstan,13,Hebei Province,"17,879,159",
202505,145,Kazakhstan,14,Shanxi Province,"49,785,089",
202505,145,Kazakhstan,15,Inner Mongolia Autonomous Region,"4,139,956",
202505,145,Kazakhstan,21,Liaoning Province,"2,650,148",
202505,145,Kazakhstan,23,Heilongjiang Province,"51,891",
202505,145,Kazakhstan,31,Shanghai Province,"42,377,685",
202505,145,Kazakhstan,32,Jiangsu Province,"104,543,734",
202505,145,Kazakhstan,33,Zhejiang Province,"49,446,770",
202505,145,Kazakhstan,34,Anhui Province,"522,336",
202505,145,Kazakhstan,35,Fujian Province,"1,793,157",
202505,145,Kazakhstan,36,Jiangxi Province,"2,983,440",
202505,145,Kazakhstan,37,Shandong Province,"42,517,546",
202505,145,Kazakhstan,41,Henan Province,"6,277,216",
202505,145,Kazakhstan,42,Hubei Province,"1,419,868",
202505,145,Kazakhstan,43,Hunan Province,"10,304,175",
202505,145,Kazakhstan,44,Guangdong Province,"2,742,853",
202505,145,Kazakhstan,45,Guangxi Zhuang Autonomous Region,"9,863,198",
202505,145,Kazakhstan,46,Hainan Province,"15,599,330",
202505,145,Kazakhstan,50,Chongqing,"827,953",
202505,145,Kazakhstan,51,Sichuan Province,"8,101,705",
202505,145,Kazakhstan,61,Shaanxi Province,"7,437,676",
202505,145,Kazakhstan,62,Gansu Province,"97,889,742",
202505,145,Kazakhstan,64,Ningxia Hui Autonomous Region,"1,706,468",
202505,145,Kazakhstan,65,Xinjiang Uygur Autonomous Region,"384,527,687",
202505,146,Kyrgyzstan,11,Beijing,"1,195",
202505,146,Kyrgyzstan,13,Hebei Province,"1,368,172",
202505,146,Kyrgyzstan,23,Heilongjiang Province,"88,467",
202505,146,Kyrgyzstan,31,Shanghai Province,"459,668,520",
202505,146,Kyrgyzstan,32,Jiangsu Province,"7,337,910",
202505,146,Kyrgyzstan,37,Shandong Province,"565,138",
202505,146,Kyrgyzstan,41,Henan Province,"127,572",
202505,146,Kyrgyzstan,42,Hubei Province,664,
202505,146,Kyrgyzstan,44,Guangdong Province,"9,399,516",
202505,146,Kyrgyzstan,61,Shaanxi Province,"3,023,702",
202505,146,Kyrgyzstan,65,Xinjiang Uygur Autonomous Region,"1,473,978",
202505,147,Tajikistan,11,Beijing,30,
202505,147,Tajikistan,12,Tianjin,"15,434,754",
202505,147,Tajikistan,15,Inner Mongolia Autonomous Region,722,
202505,147,Tajikistan,21,Liaoning Province,4,
202505,147,Tajikistan,31,Shanghai Province,"1,076",
202505,147,Tajikistan,32,Jiangsu Province,"2,593,300",
202505,147,Tajikistan,35,Fujian Province,"12,041,358",
202505,147,Tajikistan,37,Shandong Province,61,
202505,147,Tajikistan,43,Hunan Province,"11,141,826",
202505,147,Tajikistan,44,Guangdong Province,"4,122",
202505,147,Tajikistan,46,Hainan Province,"5,101,884",
202505,147,Tajikistan,51,Sichuan Province,"373,270",
202505,147,Tajikistan,65,Xinjiang Uygur Autonomous Region,"2,913,008",
202505,148,Turkmenistan,11,Beijing,"753,383,682",
202505,148,Turkmenistan,12,Tianjin,"102,236",
202505,148,Turkmenistan,13,Hebei Province,"335,132",
202505,148,Turkmenistan,31,Shanghai Province,"128,287",
202505,148,Turkmenistan,32,Jiangsu Province,"34,875",
202505,148,Turkmenistan,33,Zhejiang Province,"169,083",
202505,148,Turkmenistan,34,Anhui Province,"386,722",
202505,148,Turkmenistan,37,Shandong Province,"327,834",
202505,148,Turkmenistan,41,Henan Province,"12,098",
202505,148,Turkmenistan,44,Guangdong Province,"7,220",
202505,148,Turkmenistan,46,Hainan Province,"45,526",
202505,148,Turkmenistan,65,Xinjiang Uygur Autonomous Region,"7,097",
202505,149,Uzbekistan,11,Beijing,"150,828,583",
202505,149,Uzbekistan,12,Tianjin,"1,106,668",
202505,149,Uzbekistan,13,Hebei Province,"15,468",
202505,149,Uzbekistan,15,Inner Mongolia Autonomous Region,"41,175",
202505,149,Uzbekistan,21,Liaoning Province,"24,054",
202505,149,Uzbekistan,22,Jilin Province,532,
202505,149,Uzbekistan,23,Heilongjiang Province,"31,321",
202505,149,Uzbekistan,31,Shanghai Province,"66,120",
202505,149,Uzbekistan,32,Jiangsu Province,"2,016,881",
202505,149,Uzbekistan,33,Zhejiang Province,"18,097,265",
202505,149,Uzbekistan,34,Anhui Province,"938,870",
202505,149,Uzbekistan,35,Fujian Province,"2,041,922",
202505,149,Uzbekistan,37,Shandong Province,"7,168,064",
202505,149,Uzbekistan,41,Henan Province,"674,608",
202505,149,Uzbekistan,42,Hubei Province,"6,411",
202505,149,Uzbekistan,44,Guangdong Province,"58,261",
202505,149,Uzbekistan,51,Sichuan Province,"83,060",
202505,149,Uzbekistan,53,Yunnan Province,"17,223",
202505,149,Uzbekistan,61,Shaanxi Province,"1,552,566",
202505,149,Uzbekistan,62,Gansu Province,"1,216,800",
202505,149,Uzbekistan,63,Qinghai Province,"208,000",
202505,149,Uzbekistan,64,Ningxia Hui Autonomous Region,"57,767",
202505,149,Uzbekistan,65,Xinjiang Uygur Autonomous Region,"4,573,175",
202505,150,Georgia,11,Beijing,"188,734",
202505,150,Georgia,12,Tianjin,"39,602",
202505,150,Georgia,13,Hebei Province,"2,258",
202505,150,Georgia,14,Shanxi Province,"2,062,261",
202505,150,Georgia,21,Liaoning Province,"80,353",
202505,150,Georgia,23,Heilongjiang Province,"70,743",
202505,150,Georgia,31,Shanghai Province,"1,690,105",
202505,150,Georgia,32,Jiangsu Province,"184,724",
202505,150,Georgia,33,Zhejiang Province,"1,547,661",
202505,150,Georgia,34,Anhui Province,"123,827",
202505,150,Georgia,35,Fujian Province,84,
202505,150,Georgia,37,Shandong Province,"1,749,124",
202505,150,Georgia,41,Henan Province,"15,921,175",
202505,150,Georgia,44,Guangdong Province,"617,392",
202505,150,Georgia,45,Guangxi Zhuang Autonomous Region,"336,949",
202505,150,Georgia,46,Hainan Province,"73,513",
202505,150,Georgia,50,Chongqing,"6,960",
202505,150,Georgia,51,Sichuan Province,"262,049",
202505,150,Georgia,61,Shaanxi Province,176,
202505,150,Georgia,65,Xinjiang Uygur Autonomous Region,"301,014",
202505,151,Armenia,11,Beijing,"15,352",
202505,151,Armenia,12,Tianjin,"1,398,390",
202505,151,Armenia,21,Liaoning Province,540,
202505,151,Armenia,23,Heilongjiang Province,"128,422",
202505,151,Armenia,31,Shanghai Province,"4,340,114",
202505,151,Armenia,32,Jiangsu Province,12,
202505,151,Armenia,33,Zhejiang Province,"1,661",
202505,151,Armenia,34,Anhui Province,"3,907,143",
202505,151,Armenia,35,Fujian Province,"12,543",
202505,151,Armenia,37,Shandong Province,"26,237,145",
202505,151,Armenia,41,Henan Province,58,
202505,151,Armenia,44,Guangdong Province,"6,567,925",
202505,151,Armenia,46,Hainan Province,"694,371",
202505,151,Armenia,51,Sichuan Province,195,
202505,151,Armenia,65,Xinjiang Uygur Autonomous Region,"2,694,688",
202505,152,Azerbai jan,11,Beijing,"3,337,450",
202505,152,Azerbai jan,31,Shanghai Province,"614,368",
202505,152,Azerbai jan,32,Jiangsu Province,"1,323,000",
202505,152,Azerbai jan,33,Zhejiang Province,104,
202505,152,Azerbai jan,37,Shandong Province,"493,167",
202505,152,Azerbai jan,42,Hubei Province,24,
202505,152,Azerbai jan,44,Guangdong Province,"3,600,120",
202505,152,Azerbai jan,45,Guangxi Zhuang Autonomous Region,7,
202505,152,Azerbai jan,65,Xinjiang Uygur Autonomous Region,"143,432",
202505,199,Other Asian Territories,44,Guangdong Province,110,
202505,201,Algeria,11,Beijing,"49,872,905",
202505,201,Algeria,12,Tianjin,"158,667",
202505,201,Algeria,13,Hebei Province,"8,296",
202505,201,Algeria,31,Shanghai Province,"53,206",
202505,201,Algeria,32,Jiangsu Province,"305,957",
202505,201,Algeria,33,Zhejiang Province,"6,101,062",
202505,201,Algeria,35,Fujian Province,"1,048",
202505,201,Algeria,36,Jiangxi Province,"148,105",
202505,201,Algeria,37,Shandong Province,"45,746,212",
202505,201,Algeria,42,Hubei Province,290,
202505,201,Algeria,43,Hunan Province,136,
202505,201,Algeria,44,Guangdong Province,"33,980",
202505,201,Algeria,45,Guangxi Zhuang Autonomous Region,44,
202505,201,Algeria,51,Sichuan Province,"1,506",
202505,201,Algeria,63,Qinghai Province,3,
202505,202,Angola,11,Beijing,"1,141,159,314",
202505,202,Angola,12,Tianjin,751,
202505,202,Angola,13,Hebei Province,143,
202505,202,Angola,31,Shanghai Province,"10,175",
202505,202,Angola,32,Jiangsu Province,"252,970",
202505,202,Angola,33,Zhejiang Province,"178,110",
202505,202,Angola,34,Anhui Province,"946,262",
202505,202,Angola,35,Fujian Province,"3,717,788",
202505,202,Angola,37,Shandong Province,"158,175,854",
202505,202,Angola,42,Hubei Province,"54,192",
202505,202,Angola,44,Guangdong Province,"201,225",
202505,202,Angola,45,Guangxi Zhuang Autonomous Region,"116,498,320",
202505,203,Benin,11,Beijing,212,
202505,203,Benin,31,Shanghai Province,"50,694",
202505,203,Benin,32,Jiangsu Province,"55,512",
202505,203,Benin,37,Shandong Province,196,
202505,203,Benin,43,Hunan Province,"240,668",
202505,203,Benin,44,Guangdong Province,"97,675",
202505,203,Benin,51,Sichuan Province,42,
202505,204,Botswana,11,Beijing,3,
202505,204,Botswana,15,Inner Mongolia Autonomous Region,"5,281,724",
202505,204,Botswana,31,Shanghai Province,"28,539,077",
202505,204,Botswana,32,Jiangsu Province,4,
202505,204,Botswana,33,Zhejiang Province,"422,160",
202505,204,Botswana,34,Anhui Province,"12,167,841",
202505,204,Botswana,37,Shandong Province,"25,243,125",
202505,204,Botswana,43,Hunan Province,"8,953,670",
202505,204,Botswana,44,Guangdong Province,"264,510",
202505,204,Botswana,45,Guangxi Zhuang Autonomous Region,"9,706,786",
202505,204,Botswana,54,Tibet Autonomous Region,9,
202505,205,Burundi,11,Beijing,192,
202505,205,Burundi,31,Shanghai Province,"6,187",
202505,205,Burundi,32,Jiangsu Province,59,
202505,205,Burundi,33,Zhejiang Province,20,
202505,205,Burundi,35,Fujian Province,"69,563",
202505,205,Burundi,36,Jiangxi Province,"1,225,831",
202505,205,Burundi,43,Hunan Province,"1,419,250",
202505,205,Burundi,44,Guangdong Province,444,
202505,206,Cameroon,11,Beijing,"65,083,542",
202505,206,Cameroon,13,Hebei Province,"536,135",
202505,206,Cameroon,31,Shanghai Province,"3,749,083",
202505,206,Cameroon,32,Jiangsu Province,"3,177,740",
202505,206,Cameroon,33,Zhejiang Province,"4,930,537",
202505,206,Cameroon,34,Anhui Province,7,
202505,206,Cameroon,37,Shandong Province,"85,091",
202505,206,Cameroon,44,Guangdong Province,"403,253",
202505,206,Cameroon,50,Chongqing,"67,642",
202505,206,Cameroon,51,Sichuan Province,3,
202505,206,Cameroon,61,Shaanxi Province,40,
202505,207,Canary Islands,11,Beijing,270,
202505,207,Canary Islands,32,Jiangsu Province,235,
202505,207,Canary Islands,44,Guangdong Province,22,
202505,208,Cabo Verde,11,Beijing,10,
202505,208,Cabo Verde,44,Guangdong Province,168,
202505,209,Central African Republic,11,Beijing,"141,556",
202505,209,Central African Republic,31,Shanghai Province,"1,234,768",
202505,209,Central African Republic,32,Jiangsu Province,"114,407",
202505,209,Central African Republic,33,Zhejiang Province,"863,298",
202505,209,Central African Republic,37,Shandong Province,"82,931",
202505,209,Central African Republic,44,Guangdong Province,"38,302",
202505,211,Chad,11,Beijing,"64,928,722",
202505,211,Chad,31,Shanghai Province,8,
202505,211,Chad,32,Jiangsu Province,38,
202505,211,Chad,33,Zhejiang Province,25,
202505,211,Chad,35,Fujian Province,"288,174",
202505,211,Chad,44,Guangdong Province,173,
202505,211,Chad,51,Sichuan Province,233,
202505,212,Comoros,31,Shanghai Province,7,
202505,212,Comoros,32,Jiangsu Province,"3,937",
202505,212,Comoros,33,Zhejiang Province,16,
202505,213,Congo,11,Beijing,"329,806,226",
202505,213,Congo,12,Tianjin,207,
202505,213,Congo,13,Hebei Province,"404,395",
202505,213,Congo,31,Shanghai Province,"823,614",
202505,213,Congo,32,Jiangsu Province,"1,994,662",
202505,213,Congo,33,Zhejiang Province,"383,613",
202505,213,Congo,34,Anhui Province,"21,551",
202505,213,Congo,35,Fujian Province,235,
202505,213,Congo,36,Jiangxi Province,"595,691",
202505,213,Congo,37,Shandong Province,"202,963,579",
202505,213,Congo,42,Hubei Province,43,
202505,213,Congo,43,Hunan Province,"239,314",
202505,213,Congo,44,Guangdong Province,"196,717",
202505,213,Congo,52,Guizhou Province,4,
202505,214,Djibouti,31,Shanghai Province,57,
202505,214,Djibouti,37,Shandong Province,"440,899",
202505,214,Djibouti,44,Guangdong Province,304,
202505,215,Egypt,11,Beijing,"879,745",
202505,215,Egypt,12,Tianjin,"831,046",
202505,215,Egypt,13,Hebei Province,"788,554",
202505,215,Egypt,21,Liaoning Province,"262,769",
202505,215,Egypt,22,Jilin Province,"64,663",
202505,215,Egypt,23,Heilongjiang Province,"937,493",
202505,215,Egypt,31,Shanghai Province,"3,828,340",
202505,215,Egypt,32,Jiangsu Province,"7,212,465",
202505,215,Egypt,33,Zhejiang Province,"20,446,165",
202505,215,Egypt,34,Anhui Province,"78,567",
202505,215,Egypt,35,Fujian Province,"1,151,415",
202505,215,Egypt,36,Jiangxi Province,"763,621",
202505,215,Egypt,37,Shandong Province,"18,112,663",
202505,215,Egypt,41,Henan Province,"138,457",
202505,215,Egypt,42,Hubei Province,"4,136,178",
202505,215,Egypt,43,Hunan Province,"45,094",
202505,215,Egypt,44,Guangdong Province,"5,415,488",
202505,215,Egypt,45,Guangxi Zhuang Autonomous Region,"8,614,209",
202505,215,Egypt,46,Hainan Province,"90,958",
202505,215,Egypt,50,Chongqing,"297,915",
202505,215,Egypt,51,Sichuan Province,"4,213,255",
202505,215,Egypt,61,Shaanxi Province,"56,192",
202505,215,Egypt,65,Xinjiang Uygur Autonomous Region,"458,597",
202505,216,Equatorial Guinea,11,Beijing,"166,183,703",
202505,216,Equatorial Guinea,13,Hebei Province,"288,843",
202505,216,Equatorial Guinea,32,Jiangsu Province,"897,436",
202505,216,Equatorial Guinea,33,Zhejiang Province,"127,248",
202505,216,Equatorial Guinea,37,Shandong Province,"424,031",
202505,216,Equatorial Guinea,43,Hunan Province,"828,508",
202505,216,Equatorial Guinea,44,Guangdong Province,"6,905,000",
202505,216,Equatorial Guinea,50,Chongqing,"142,779",
202505,217,Ethiopia,11,Beijing,"11,107,499",
202505,217,Ethiopia,12,Tianjin,"4,232,307",
202505,217,Ethiopia,13,Hebei Province,"280,719",
202505,217,Ethiopia,15,Inner Mongolia Autonomous Region,"286,892",
202505,217,Ethiopia,21,Liaoning Province,"345,795",
202505,217,Ethiopia,23,Heilongjiang Province,"238,312",
202505,217,Ethiopia,31,Shanghai Province,"7,611,911",
202505,217,Ethiopia,32,Jiangsu Province,"12,357,689",
202505,217,Ethiopia,33,Zhejiang Province,"3,382,331",
202505,217,Ethiopia,34,Anhui Province,"10,699,188",
202505,217,Ethiopia,35,Fujian Province,"737,035",
202505,217,Ethiopia,37,Shandong Province,"1,132,204",
202505,217,Ethiopia,41,Henan Province,"315,666",
202505,217,Ethiopia,42,Hubei Province,470,
202505,217,Ethiopia,43,Hunan Province,"67,585",
202505,217,Ethiopia,44,Guangdong Province,"5,891,496",
202505,217,Ethiopia,50,Chongqing,"1,923,577",
202505,217,Ethiopia,51,Sichuan Province,47,
202505,217,Ethiopia,53,Yunnan Province,"189,221",
202505,217,Ethiopia,65,Xinjiang Uygur Autonomous Region,"185,942",
202505,218,Gabon,11,Beijing,"201,704,577",
202505,218,Gabon,12,Tianjin,"1,836,420",
202505,218,Gabon,13,Hebei Province,"4,104,364",
202505,218,Gabon,31,Shanghai Province,"7,394,370",
202505,218,Gabon,32,Jiangsu Province,"19,097,870",
202505,218,Gabon,33,Zhejiang Province,"9,067,967",
202505,218,Gabon,34,Anhui Province,"5,366,600",
202505,218,Gabon,35,Fujian Province,"5,024,947",
202505,218,Gabon,36,Jiangxi Province,"477,496",
202505,218,Gabon,37,Shandong Province,"2,026,598",
202505,218,Gabon,42,Hubei Province,40,
202505,218,Gabon,43,Hunan Province,"6,277,052",
202505,218,Gabon,44,Guangdong Province,"2,068,604",
202505,218,Gabon,45,Guangxi Zhuang Autonomous Region,"6,432,328",
202505,218,Gabon,46,Hainan Province,"6,859,833",
202505,218,Gabon,50,Chongqing,"2,492,423",
202505,218,Gabon,51,Sichuan Province,"1,024,699",
202505,218,Gabon,52,Guizhou Province,"2,320,569",
202505,218,Gabon,64,Ningxia Hui Autonomous Region,"3,498,790",
202505,219,Gambia,31,Shanghai Province,"125,028",
202505,219,Gambia,32,Jiangsu Province,"242,510",
202505,219,Gambia,33,Zhejiang Province,4,
202505,219,Gambia,34,Anhui Province,"363,916",
202505,219,Gambia,43,Hunan Province,"321,347",
202505,219,Gambia,44,Guangdong Province,"648,086",
202505,219,Gambia,45,Guangxi Zhuang Autonomous Region,"338,325",
202505,219,Gambia,51,Sichuan Province,"740,367",
202505,220,Ghana,11,Beijing,"2,161",
202505,220,Ghana,12,Tianjin,"355,205",
202505,220,Ghana,13,Hebei Province,"573,145",
202505,220,Ghana,21,Liaoning Province,8,
202505,220,Ghana,31,Shanghai Province,"2,203,601",
202505,220,Ghana,32,Jiangsu Province,"10,531,180",
202505,220,Ghana,33,Zhejiang Province,"2,080,745",
202505,220,Ghana,34,Anhui Province,"1,080,644",
202505,220,Ghana,35,Fujian Province,"58,733",
202505,220,Ghana,37,Shandong Province,"470,127",
202505,220,Ghana,41,Henan Province,"74,087",
202505,220,Ghana,42,Hubei Province,"4,616",
202505,220,Ghana,43,Hunan Province,"20,845,784",
202505,220,Ghana,44,Guangdong Province,"22,783,428",
202505,220,Ghana,45,Guangxi Zhuang Autonomous Region,"9,377,643",
202505,220,Ghana,50,Chongqing,"20,874",
202505,220,Ghana,61,Shaanxi Province,"211,454",
202505,221,Guinea,11,Beijing,72,
202505,221,Guinea,12,Tianjin,"16,281,340",
202505,221,Guinea,13,Hebei Province,"153,977,279",
202505,221,Guinea,14,Shanxi Province,"33,102,363",
202505,221,Guinea,31,Shanghai Province,"98,786,772",
202505,221,Guinea,32,Jiangsu Province,"4,503,812",
202505,221,Guinea,33,Zhejiang Province,"26,488,730",
202505,221,Guinea,35,Fujian Province,"52,267,354",
202505,221,Guinea,36,Jiangxi Province,"470,071",
202505,221,Guinea,37,Shandong Province,"603,932,399",
202505,221,Guinea,41,Henan Province,551,
202505,221,Guinea,42,Hubei Province,"4,352,484",
202505,221,Guinea,44,Guangdong Province,"31,828,413",
202505,221,Guinea,45,Guangxi Zhuang Autonomous Region,"49,452,357",
202505,221,Guinea,50,Chongqing,"80,398,349",
202505,223,Cote d'lvoire,11,Beijing,"1,991",
202505,223,Cote d'lvoire,12,Tianjin,"444,798",
202505,223,Cote d'lvoire,21,Liaoning Province,20,
202505,223,Cote d'lvoire,31,Shanghai Province,"687,772",
202505,223,Cote d'lvoire,32,Jiangsu Province,"417,435",
202505,223,Cote d'lvoire,33,Zhejiang Province,"14,051,260",
202505,223,Cote d'lvoire,34,Anhui Province,"2,066,868",
202505,223,Cote d'lvoire,35,Fujian Province,"3,049,763",
202505,223,Cote d'lvoire,37,Shandong Province,"42,626,835",
202505,223,Cote d'lvoire,42,Hubei Province,8,
202505,223,Cote d'lvoire,43,Hunan Province,"26,156,625",
202505,223,Cote d'lvoire,44,Guangdong Province,"6,335,209",
202505,223,Cote d'lvoire,46,Hainan Province,"66,893",
202505,223,Cote d'lvoire,51,Sichuan Province,628,
202505,223,Cote d'lvoire,52,Guizhou Province,"4,707,305",
202505,224,Kenya,11,Beijing,"731,270",
202505,224,Kenya,12,Tianjin,"17,526",
202505,224,Kenya,13,Hebei Province,"656,752",
202505,224,Kenya,31,Shanghai Province,"560,936",
202505,224,Kenya,32,Jiangsu Province,"1,751,947",
202505,224,Kenya,33,Zhejiang Province,"5,224,160",
202505,224,Kenya,34,Anhui Province,"271,685",
202505,224,Kenya,35,Fujian Province,"761,716",
202505,224,Kenya,36,Jiangxi Province,"3,984",
202505,224,Kenya,37,Shandong Province,"611,028",
202505,224,Kenya,41,Henan Province,"55,243",
202505,224,Kenya,42,Hubei Province,"13,811",
202505,224,Kenya,43,Hunan Province,"152,358",
202505,224,Kenya,44,Guangdong Province,"14,493,401",
202505,224,Kenya,45,Guangxi Zhuang Autonomous Region,"93,386",
202505,224,Kenya,46,Hainan Province,"10,968",
202505,224,Kenya,50,Chongqing,"97,069",
202505,224,Kenya,51,Sichuan Province,"1,830",
202505,224,Kenya,52,Guizhou Province,"88,700",
202505,224,Kenya,53,Yunnan Province,"126,363",
202505,225,Liberia,11,Beijing,68,
202505,225,Liberia,31,Shanghai Province,"414,202",
202505,225,Liberia,33,Zhejiang Province,"784,096",
202505,225,Liberia,35,Fujian Province,"7,958",
202505,225,Liberia,37,Shandong Province,"2,030,112",
202505,225,Liberia,44,Guangdong Province,"59,172",
202505,225,Liberia,46,Hainan Province,"466,865",
202505,226,Libya,11,Beijing,7,
202505,226,Libya,31,Shanghai Province,158,
202505,226,Libya,32,Jiangsu Province,663,
202505,226,Libya,33,Zhejiang Province,"296,207",
202505,226,Libya,37,Shandong Province,20,
202505,226,Libya,44,Guangdong Province,"119,697",
202505,227,Madagascar,11,Beijing,"63,121",
202505,227,Madagascar,12,Tianjin,57,
202505,227,Madagascar,13,Hebei Province,"696,596",
202505,227,Madagascar,14,Shanxi Province,"299,193",
202505,227,Madagascar,21,Liaoning Province,"10,641",
202505,227,Madagascar,23,Heilongjiang Province,"26,382",
202505,227,Madagascar,31,Shanghai Province,"3,728,262",
202505,227,Madagascar,32,Jiangsu Province,"597,628",
202505,227,Madagascar,33,Zhejiang Province,"1,471,276",
202505,227,Madagascar,34,Anhui Province,"15,723",
202505,227,Madagascar,35,Fujian Province,"373,684",
202505,227,Madagascar,36,Jiangxi Province,"413,837",
202505,227,Madagascar,37,Shandong Province,"292,239",
202505,227,Madagascar,42,Hubei Province,"237,356",
202505,227,Madagascar,43,Hunan Province,"2,356,844",
202505,227,Madagascar,44,Guangdong Province,"2,799,654",
202505,227,Madagascar,45,Guangxi Zhuang Autonomous Region,"5,702",
202505,227,Madagascar,46,Hainan Province,"2,284,140",
202505,227,Madagascar,51,Sichuan Province,"86,990",
202505,228,Malawi,11,Beijing,"3,238,028",
202505,228,Malawi,31,Shanghai Province,44,
202505,228,Malawi,32,Jiangsu Province,336,
202505,228,Malawi,33,Zhejiang Province,33,
202505,228,Malawi,34,Anhui Province,"126,357",
202505,228,Malawi,35,Fujian Province,74,
202505,228,Malawi,44,Guangdong Province,796,
202505,229,Mali,11,Beijing,128,
202505,229,Mali,31,Shanghai Province,"477,477",
202505,229,Mali,32,Jiangsu Province,"756,447",
202505,229,Mali,33,Zhejiang Province,"462,195",
202505,229,Mali,34,Anhui Province,11,
202505,229,Mali,37,Shandong Province,"1,135",
202505,229,Mali,42,Hubei Province,"8,114",
202505,229,Mali,44,Guangdong Province,"1,005,191",
202505,230,Mauritania,11,Beijing,"21,636,091",
202505,230,Mauritania,13,Hebei Province,"47,372",
202505,230,Mauritania,31,Shanghai Province,"14,135,452",
202505,230,Mauritania,32,Jiangsu Province,"204,885",
202505,230,Mauritania,33,Zhejiang Province,"12,629,259",
202505,230,Mauritania,34,Anhui Province,"40,314",
202505,230,Mauritania,35,Fujian Province,"20,002,288",
202505,230,Mauritania,36,Jiangxi Province,"167,547",
202505,230,Mauritania,37,Shandong Province,"18,777,776",
202505,230,Mauritania,42,Hubei Province,44,
202505,230,Mauritania,43,Hunan Province,166,
202505,230,Mauritania,44,Guangdong Province,"36,537,601",
202505,230,Mauritania,45,Guangxi Zhuang Autonomous Region,"21,436,489",
202505,231,Mauritius,11,Beijing,"3,480",
202505,231,Mauritius,31,Shanghai Province,"378,186",
202505,231,Mauritius,33,Zhejiang Province,"252,785",
202505,231,Mauritius,35,Fujian Province,"1,066",
202505,231,Mauritius,37,Shandong Province,"1,846",
202505,231,Mauritius,41,Henan Province,"9,965",
202505,231,Mauritius,42,Hubei Province,146,
202505,231,Mauritius,44,Guangdong Province,"33,856",
202505,231,Mauritius,46,Hainan Province,"15,404",
202505,231,Mauritius,51,Sichuan Province,45,
202505,231,Mauritius,61,Shaanxi Province,"1,242",
202505,232,Morocco,11,Beijing,"410,467",
202505,232,Morocco,12,Tianjin,"763,769",
202505,232,Morocco,13,Hebei Province,"46,788",
202505,232,Morocco,21,Liaoning Province,"7,741,140",
202505,232,Morocco,22,Jilin Province,"1,377,600",
202505,232,Morocco,23,Heilongjiang Province,"38,879",
202505,232,Morocco,31,Shanghai Province,"15,311,093",
202505,232,Morocco,32,Jiangsu Province,"4,529,218",
202505,232,Morocco,33,Zhejiang Province,"12,493,854",
202505,232,Morocco,34,Anhui Province,"262,236",
202505,232,Morocco,35,Fujian Province,"7,959,446",
202505,232,Morocco,36,Jiangxi Province,"182,890",
202505,232,Morocco,37,Shandong Province,"1,624,701",
202505,232,Morocco,41,Henan Province,"4,186,249",
202505,232,Morocco,42,Hubei Province,"186,480",
202505,232,Morocco,43,Hunan Province,"3,077,808",
202505,232,Morocco,44,Guangdong Province,"11,471,474",
202505,232,Morocco,45,Guangxi Zhuang Autonomous Region,"1,147,937",
202505,232,Morocco,46,Hainan Province,"110,447",
202505,232,Morocco,50,Chongqing,"556,885",
202505,232,Morocco,51,Sichuan Province,"2,318,348",
